,coefs,pval
527,Mode28_Canonical variate x e2/4,0.168
528,Mode29_Canonical variate x e2/4,0.261
529,Mode30_Canonical variate x e2/4,0.136
530,Mode31_Canonical variate x e2/4,0.286
531,Mode32_Canonical variate x e2/4,0.247
532,Mode33_Canonical variate x e2/4,0.198
533,Mode34_Canonical variate x e2/4,0.005
534,Mode35_Canonical variate x e2/4,0.239
535,Mode36_Canonical variate x e2/4,0.022
536,Mode37_Canonical variate x e2/4,0.264
537,Mode38_Canonical variate x e2/4,0.141
538,Mode39_Canonical variate x e2/4,0.012
539,Mode40_Canonical variate x e2/4,0.03
540,Mode41_Canonical variate x e2/4,0.13
541,Mode42_Canonical variate x e2/4,0.004
542,Mode43_Canonical variate x e2/4,0.154
543,Mode44_Canonical variate x e2/4,0.249
544,Mode45_Canonical variate x e2/4,0.171
545,Mode46_Canonical variate x e2/4,0.253
546,Mode47_Canonical variate x e2/4,0.145
547,Mode48_Canonical variate x e2/4,0.052
548,Mode49_Canonical variate x e2/4,0.084
549,Mode50_Canonical variate x e2/4,0.199
550,Mode1_Canonical variate x e3/4,0.401
551,Mode2_Canonical variate x e3/4,0.002
552,Mode3_Canonical variate x e3/4,0.455
553,Mode4_Canonical variate x e3/4,0.009
554,Mode5_Canonical variate x e3/4,0.237
555,Mode6_Canonical variate x e3/4,0.167
556,Mode7_Canonical variate x e3/4,0.289
557,Mode8_Canonical variate x e3/4,0.12
558,Mode9_Canonical variate x e3/4,0.108
559,Mode10_Canonical variate x e3/4,0.099
560,Mode11_Canonical variate x e3/4,0.144
561,Mode12_Canonical variate x e3/4,0.053
562,Mode13_Canonical variate x e3/4,0.256
563,Mode14_Canonical variate x e3/4,0.282
564,Mode15_Canonical variate x e3/4,0.285
565,Mode16_Canonical variate x e3/4,0.365
566,Mode17_Canonical variate x e3/4,0.159
567,Mode18_Canonical variate x e3/4,0.199
568,Mode19_Canonical variate x e3/4,0.19
569,Mode20_Canonical variate x e3/4,0.143
570,Mode21_Canonical variate x e3/4,0.169
571,Mode22_Canonical variate x e3/4,0.126
572,Mode23_Canonical variate x e3/4,0.332
573,Mode24_Canonical variate x e3/4,0.009
574,Mode25_Canonical variate x e3/4,0.134
575,Mode26_Canonical variate x e3/4,0.256
576,Mode27_Canonical variate x e3/4,0.051
577,Mode28_Canonical variate x e3/4,0.036
578,Mode29_Canonical variate x e3/4,0.155
579,Mode30_Canonical variate x e3/4,0.311
580,Mode31_Canonical variate x e3/4,0.026
581,Mode32_Canonical variate x e3/4,0.217
582,Mode33_Canonical variate x e3/4,0.106
583,Mode34_Canonical variate x e3/4,0.012
584,Mode35_Canonical variate x e3/4,0.199
585,Mode36_Canonical variate x e3/4,0.193
586,Mode37_Canonical variate x e3/4,0.246
587,Mode38_Canonical variate x e3/4,0.052
588,Mode39_Canonical variate x e3/4,0.044
589,Mode40_Canonical variate x e3/4,0.215
590,Mode41_Canonical variate x e3/4,0.133
591,Mode42_Canonical variate x e3/4,0.053
592,Mode43_Canonical variate x e3/4,0.26
593,Mode44_Canonical variate x e3/4,0.071
594,Mode45_Canonical variate x e3/4,0.036
595,Mode46_Canonical variate x e3/4,0.191
596,Mode47_Canonical variate x e3/4,0.08
597,Mode48_Canonical variate x e3/4,0.151
598,Mode49_Canonical variate x e3/4,0.175
599,Mode50_Canonical variate x e3/4,0.028
600,Mode1_Canonical variate x e4/4,0.309
601,Mode2_Canonical variate x e4/4,0.485
602,Mode3_Canonical variate x e4/4,0.024
603,Mode4_Canonical variate x e4/4,0.317
604,Mode5_Canonical variate x e4/4,0.019
605,Mode6_Canonical variate x e4/4,0.314
606,Mode7_Canonical variate x e4/4,0.014
607,Mode8_Canonical variate x e4/4,0.124
608,Mode9_Canonical variate x e4/4,0.093
609,Mode10_Canonical variate x e4/4,0.361
610,Mode11_Canonical variate x e4/4,0.178
611,Mode12_Canonical variate x e4/4,0.044
612,Mode13_Canonical variate x e4/4,0.181
613,Mode14_Canonical variate x e4/4,0.134
614,Mode15_Canonical variate x e4/4,0.247
615,Mode16_Canonical variate x e4/4,0.249
616,Mode17_Canonical variate x e4/4,0.145
617,Mode18_Canonical variate x e4/4,0.192
618,Mode19_Canonical variate x e4/4,0.132
619,Mode20_Canonical variate x e4/4,0.309
620,Mode21_Canonical variate x e4/4,0.224
621,Mode22_Canonical variate x e4/4,0.122
622,Mode23_Canonical variate x e4/4,0.087
623,Mode24_Canonical variate x e4/4,0.292
624,Mode25_Canonical variate x e4/4,0.078
625,Mode26_Canonical variate x e4/4,0.182
626,Mode27_Canonical variate x e4/4,0.107
627,Mode28_Canonical variate x e4/4,0.043
628,Mode29_Canonical variate x e4/4,0.226
629,Mode30_Canonical variate x e4/4,0.279
630,Mode31_Canonical variate x e4/4,0.232
631,Mode32_Canonical variate x e4/4,0.151
632,Mode33_Canonical variate x e4/4,0.143
633,Mode34_Canonical variate x e4/4,0.257
634,Mode35_Canonical variate x e4/4,0.125
635,Mode36_Canonical variate x e4/4,0.273
636,Mode37_Canonical variate x e4/4,0.161
637,Mode38_Canonical variate x e4/4,0.053
638,Mode39_Canonical variate x e4/4,0.279
639,Mode40_Canonical variate x e4/4,0.207
640,Mode41_Canonical variate x e4/4,0.105
641,Mode42_Canonical variate x e4/4,0.091
642,Mode43_Canonical variate x e4/4,0.143
643,Mode44_Canonical variate x e4/4,0.22
644,Mode45_Canonical variate x e4/4,0.22
645,Mode46_Canonical variate x e4/4,0.154
646,Mode47_Canonical variate x e4/4,0.044
647,Mode48_Canonical variate x e4/4,0.035
648,Mode49_Canonical variate x e4/4,0.169
649,Mode50_Canonical variate x e4/4,0.182
650,Mode1_Age,0.0
