,coefs,pval
497,Mode48_Canonical variate x e3/3,0.119
498,Mode49_Canonical variate x e3/3,0.231
499,Mode50_Canonical variate x e3/3,0.193
500,Mode1_Canonical variate x e2/4,0.248
501,Mode2_Canonical variate x e2/4,0.123
502,Mode3_Canonical variate x e2/4,0.003
503,Mode4_Canonical variate x e2/4,0.098
504,Mode5_Canonical variate x e2/4,0.144
505,Mode6_Canonical variate x e2/4,0.328
506,Mode7_Canonical variate x e2/4,0.066
507,Mode8_Canonical variate x e2/4,0.436
508,Mode9_Canonical variate x e2/4,0.289
509,Mode10_Canonical variate x e2/4,0.003
510,Mode11_Canonical variate x e2/4,0.337
511,Mode12_Canonical variate x e2/4,0.074
512,Mode13_Canonical variate x e2/4,0.292
513,Mode14_Canonical variate x e2/4,0.048
514,Mode15_Canonical variate x e2/4,0.097
515,Mode16_Canonical variate x e2/4,0.126
516,Mode17_Canonical variate x e2/4,0.015
517,Mode18_Canonical variate x e2/4,0.222
518,Mode19_Canonical variate x e2/4,0.332
519,Mode20_Canonical variate x e2/4,0.315
520,Mode21_Canonical variate x e2/4,0.282
521,Mode22_Canonical variate x e2/4,0.097
522,Mode23_Canonical variate x e2/4,0.212
523,Mode24_Canonical variate x e2/4,0.317
524,Mode25_Canonical variate x e2/4,0.23
525,Mode26_Canonical variate x e2/4,0.239
526,Mode27_Canonical variate x e2/4,0.208
527,Mode28_Canonical variate x e2/4,0.005
528,Mode29_Canonical variate x e2/4,0.165
529,Mode30_Canonical variate x e2/4,0.315
530,Mode31_Canonical variate x e2/4,0.256
531,Mode32_Canonical variate x e2/4,0.0
532,Mode33_Canonical variate x e2/4,0.271
533,Mode34_Canonical variate x e2/4,0.171
534,Mode35_Canonical variate x e2/4,0.037
535,Mode36_Canonical variate x e2/4,0.063
536,Mode37_Canonical variate x e2/4,0.264
537,Mode38_Canonical variate x e2/4,0.235
538,Mode39_Canonical variate x e2/4,0.109
539,Mode40_Canonical variate x e2/4,0.085
540,Mode41_Canonical variate x e2/4,0.082
541,Mode42_Canonical variate x e2/4,0.206
542,Mode43_Canonical variate x e2/4,0.017
543,Mode44_Canonical variate x e2/4,0.274
544,Mode45_Canonical variate x e2/4,0.213
545,Mode46_Canonical variate x e2/4,0.03
546,Mode47_Canonical variate x e2/4,0.043
547,Mode48_Canonical variate x e2/4,0.228
548,Mode49_Canonical variate x e2/4,0.217
549,Mode50_Canonical variate x e2/4,0.129
550,Mode1_Canonical variate x e3/4,0.462
551,Mode2_Canonical variate x e3/4,0.373
552,Mode3_Canonical variate x e3/4,0.257
553,Mode4_Canonical variate x e3/4,0.409
554,Mode5_Canonical variate x e3/4,0.402
555,Mode6_Canonical variate x e3/4,0.196
556,Mode7_Canonical variate x e3/4,0.229
557,Mode8_Canonical variate x e3/4,0.322
558,Mode9_Canonical variate x e3/4,0.397
559,Mode10_Canonical variate x e3/4,0.335
560,Mode11_Canonical variate x e3/4,0.281
561,Mode12_Canonical variate x e3/4,0.211
562,Mode13_Canonical variate x e3/4,0.213
563,Mode14_Canonical variate x e3/4,0.364
564,Mode15_Canonical variate x e3/4,0.333
565,Mode16_Canonical variate x e3/4,0.083
566,Mode17_Canonical variate x e3/4,0.29
567,Mode18_Canonical variate x e3/4,0.289
568,Mode19_Canonical variate x e3/4,0.274
569,Mode20_Canonical variate x e3/4,0.059
570,Mode21_Canonical variate x e3/4,0.236
571,Mode22_Canonical variate x e3/4,0.147
572,Mode23_Canonical variate x e3/4,0.223
573,Mode24_Canonical variate x e3/4,0.027
574,Mode25_Canonical variate x e3/4,0.178
575,Mode26_Canonical variate x e3/4,0.14
576,Mode27_Canonical variate x e3/4,0.223
577,Mode28_Canonical variate x e3/4,0.209
578,Mode29_Canonical variate x e3/4,0.172
579,Mode30_Canonical variate x e3/4,0.135
580,Mode31_Canonical variate x e3/4,0.212
581,Mode32_Canonical variate x e3/4,0.137
582,Mode33_Canonical variate x e3/4,0.281
583,Mode34_Canonical variate x e3/4,0.135
584,Mode35_Canonical variate x e3/4,0.157
585,Mode36_Canonical variate x e3/4,0.013
586,Mode37_Canonical variate x e3/4,0.141
587,Mode38_Canonical variate x e3/4,0.28
588,Mode39_Canonical variate x e3/4,0.165
589,Mode40_Canonical variate x e3/4,0.259
590,Mode41_Canonical variate x e3/4,0.201
591,Mode42_Canonical variate x e3/4,0.272
592,Mode43_Canonical variate x e3/4,0.042
593,Mode44_Canonical variate x e3/4,0.193
594,Mode45_Canonical variate x e3/4,0.179
595,Mode46_Canonical variate x e3/4,0.18
596,Mode47_Canonical variate x e3/4,0.04
597,Mode48_Canonical variate x e3/4,0.221
598,Mode49_Canonical variate x e3/4,0.164
599,Mode50_Canonical variate x e3/4,0.05
600,Mode1_Canonical variate x e4/4,0.357
601,Mode2_Canonical variate x e4/4,0.007
602,Mode3_Canonical variate x e4/4,0.097
603,Mode4_Canonical variate x e4/4,0.46
604,Mode5_Canonical variate x e4/4,0.043
605,Mode6_Canonical variate x e4/4,0.076
606,Mode7_Canonical variate x e4/4,0.352
607,Mode8_Canonical variate x e4/4,0.039
608,Mode9_Canonical variate x e4/4,0.06
609,Mode10_Canonical variate x e4/4,0.234
610,Mode11_Canonical variate x e4/4,0.078
611,Mode12_Canonical variate x e4/4,0.134
612,Mode13_Canonical variate x e4/4,0.056
613,Mode14_Canonical variate x e4/4,0.176
614,Mode15_Canonical variate x e4/4,0.052
615,Mode16_Canonical variate x e4/4,0.201
616,Mode17_Canonical variate x e4/4,0.162
617,Mode18_Canonical variate x e4/4,0.153
618,Mode19_Canonical variate x e4/4,0.358
619,Mode20_Canonical variate x e4/4,0.315
620,Mode21_Canonical variate x e4/4,0.19
621,Mode22_Canonical variate x e4/4,0.323
622,Mode23_Canonical variate x e4/4,0.046
623,Mode24_Canonical variate x e4/4,0.08
624,Mode25_Canonical variate x e4/4,0.242
625,Mode26_Canonical variate x e4/4,0.243
626,Mode27_Canonical variate x e4/4,0.031
627,Mode28_Canonical variate x e4/4,0.047
628,Mode29_Canonical variate x e4/4,0.212
629,Mode30_Canonical variate x e4/4,0.163
630,Mode31_Canonical variate x e4/4,0.204
631,Mode32_Canonical variate x e4/4,0.01
632,Mode33_Canonical variate x e4/4,0.0
633,Mode34_Canonical variate x e4/4,0.209
634,Mode35_Canonical variate x e4/4,0.101
635,Mode36_Canonical variate x e4/4,0.247
636,Mode37_Canonical variate x e4/4,0.288
637,Mode38_Canonical variate x e4/4,0.197
638,Mode39_Canonical variate x e4/4,0.028
639,Mode40_Canonical variate x e4/4,0.174
640,Mode41_Canonical variate x e4/4,0.107
641,Mode42_Canonical variate x e4/4,0.235
642,Mode43_Canonical variate x e4/4,0.078
643,Mode44_Canonical variate x e4/4,0.044
644,Mode45_Canonical variate x e4/4,0.128
645,Mode46_Canonical variate x e4/4,0.228
646,Mode47_Canonical variate x e4/4,0.118
647,Mode48_Canonical variate x e4/4,0.139
648,Mode49_Canonical variate x e4/4,0.239
649,Mode50_Canonical variate x e4/4,0.213
650,Mode1_Age,0.0
