,coefs,pval
232,Canonical_variate_33_Main effect e3/4,0.001
233,Canonical_variate_34_Main effect e3/4,0.001
234,Canonical_variate_35_Main effect e3/4,0.0
235,Canonical_variate_36_Main effect e3/4,0.001
236,Canonical_variate_37_Main effect e3/4,0.001
237,Canonical_variate_38_Main effect e3/4,0.002
238,Canonical_variate_39_Main effect e3/4,0.001
239,Canonical_variate_40_Main effect e3/4,0.0
240,Canonical_variate_41_Main effect e3/4,0.0
241,Canonical_variate_42_Main effect e3/4,0.002
242,Canonical_variate_43_Main effect e3/4,0.002
243,Canonical_variate_44_Main effect e3/4,0.0
244,Canonical_variate_45_Main effect e3/4,0.001
245,Canonical_variate_46_Main effect e3/4,0.0
246,Canonical_variate_47_Main effect e3/4,0.002
247,Canonical_variate_48_Main effect e3/4,0.002
248,Canonical_variate_49_Main effect e3/4,0.001
249,Canonical_variate_50_Main effect e3/4,0.002
250,Canonical_variate_1_Main effect e4/4,0.0
251,Canonical_variate_2_Main effect e4/4,0.0
252,Canonical_variate_3_Main effect e4/4,0.0
253,Canonical_variate_4_Main effect e4/4,0.0
254,Canonical_variate_5_Main effect e4/4,0.0
255,Canonical_variate_6_Main effect e4/4,0.0
256,Canonical_variate_7_Main effect e4/4,0.0
257,Canonical_variate_8_Main effect e4/4,0.0
258,Canonical_variate_9_Main effect e4/4,0.0
259,Canonical_variate_10_Main effect e4/4,0.0
260,Canonical_variate_11_Main effect e4/4,0.0
261,Canonical_variate_12_Main effect e4/4,0.0
262,Canonical_variate_13_Main effect e4/4,0.0
263,Canonical_variate_14_Main effect e4/4,0.0
264,Canonical_variate_15_Main effect e4/4,0.0
265,Canonical_variate_16_Main effect e4/4,0.0
266,Canonical_variate_17_Main effect e4/4,0.0
267,Canonical_variate_18_Main effect e4/4,0.0
268,Canonical_variate_19_Main effect e4/4,0.0
269,Canonical_variate_20_Main effect e4/4,0.0
270,Canonical_variate_21_Main effect e4/4,0.0
271,Canonical_variate_22_Main effect e4/4,0.0
272,Canonical_variate_23_Main effect e4/4,0.0
273,Canonical_variate_24_Main effect e4/4,0.0
274,Canonical_variate_25_Main effect e4/4,0.0
275,Canonical_variate_26_Main effect e4/4,0.0
276,Canonical_variate_27_Main effect e4/4,0.0
277,Canonical_variate_28_Main effect e4/4,0.0
278,Canonical_variate_29_Main effect e4/4,0.0
279,Canonical_variate_30_Main effect e4/4,0.0
280,Canonical_variate_31_Main effect e4/4,0.0
281,Canonical_variate_32_Main effect e4/4,0.0
282,Canonical_variate_33_Main effect e4/4,0.0
283,Canonical_variate_34_Main effect e4/4,0.0
284,Canonical_variate_35_Main effect e4/4,0.0
285,Canonical_variate_36_Main effect e4/4,0.0
286,Canonical_variate_37_Main effect e4/4,0.0
287,Canonical_variate_38_Main effect e4/4,0.0
288,Canonical_variate_39_Main effect e4/4,0.0
289,Canonical_variate_40_Main effect e4/4,0.0
290,Canonical_variate_41_Main effect e4/4,0.0
291,Canonical_variate_42_Main effect e4/4,0.0
292,Canonical_variate_43_Main effect e4/4,0.0
293,Canonical_variate_44_Main effect e4/4,0.0
294,Canonical_variate_45_Main effect e4/4,0.0
295,Canonical_variate_46_Main effect e4/4,0.0
296,Canonical_variate_47_Main effect e4/4,0.0
297,Canonical_variate_48_Main effect e4/4,0.0
298,Canonical_variate_49_Main effect e4/4,0.0
299,Canonical_variate_50_Main effect e4/4,0.0
300,Canonical_variate_1_Main effect canonical variate,0.311
301,Canonical_variate_2_Main effect canonical variate,0.11
302,Canonical_variate_3_Main effect canonical variate,0.4
303,Canonical_variate_4_Main effect canonical variate,0.192
304,Canonical_variate_5_Main effect canonical variate,0.264
305,Canonical_variate_6_Main effect canonical variate,0.465
306,Canonical_variate_7_Main effect canonical variate,0.086
307,Canonical_variate_8_Main effect canonical variate,0.197
308,Canonical_variate_9_Main effect canonical variate,0.212
309,Canonical_variate_10_Main effect canonical variate,0.36
310,Canonical_variate_11_Main effect canonical variate,0.106
311,Canonical_variate_12_Main effect canonical variate,0.219
312,Canonical_variate_13_Main effect canonical variate,0.347
313,Canonical_variate_14_Main effect canonical variate,0.182
314,Canonical_variate_15_Main effect canonical variate,0.128
315,Canonical_variate_16_Main effect canonical variate,0.227
316,Canonical_variate_17_Main effect canonical variate,0.288
317,Canonical_variate_18_Main effect canonical variate,0.285
318,Canonical_variate_19_Main effect canonical variate,0.118
319,Canonical_variate_20_Main effect canonical variate,0.289
320,Canonical_variate_21_Main effect canonical variate,0.191
321,Canonical_variate_22_Main effect canonical variate,0.214
322,Canonical_variate_23_Main effect canonical variate,0.149
323,Canonical_variate_24_Main effect canonical variate,0.094
324,Canonical_variate_25_Main effect canonical variate,0.305
325,Canonical_variate_26_Main effect canonical variate,0.267
326,Canonical_variate_27_Main effect canonical variate,0.144
327,Canonical_variate_28_Main effect canonical variate,0.116
328,Canonical_variate_29_Main effect canonical variate,0.172
329,Canonical_variate_30_Main effect canonical variate,0.212
330,Canonical_variate_31_Main effect canonical variate,0.306
331,Canonical_variate_32_Main effect canonical variate,0.018
332,Canonical_variate_33_Main effect canonical variate,0.298
333,Canonical_variate_34_Main effect canonical variate,0.17
334,Canonical_variate_35_Main effect canonical variate,0.043
335,Canonical_variate_36_Main effect canonical variate,0.036
336,Canonical_variate_37_Main effect canonical variate,0.197
337,Canonical_variate_38_Main effect canonical variate,0.274
338,Canonical_variate_39_Main effect canonical variate,0.156
339,Canonical_variate_40_Main effect canonical variate,0.091
340,Canonical_variate_41_Main effect canonical variate,0.117
341,Canonical_variate_42_Main effect canonical variate,0.065
342,Canonical_variate_43_Main effect canonical variate,0.178
343,Canonical_variate_44_Main effect canonical variate,0.119
344,Canonical_variate_45_Main effect canonical variate,0.203
345,Canonical_variate_46_Main effect canonical variate,0.038
346,Canonical_variate_47_Main effect canonical variate,0.139
347,Canonical_variate_48_Main effect canonical variate,0.086
348,Canonical_variate_49_Main effect canonical variate,0.037
349,Canonical_variate_50_Main effect canonical variate,0.151
350,Canonical_variate_1_Canonical variate x e2/2,0.34
351,Canonical_variate_2_Canonical variate x e2/2,0.42
352,Canonical_variate_3_Canonical variate x e2/2,0.238
353,Canonical_variate_4_Canonical variate x e2/2,0.117
354,Canonical_variate_5_Canonical variate x e2/2,0.246
355,Canonical_variate_6_Canonical variate x e2/2,0.255
356,Canonical_variate_7_Canonical variate x e2/2,0.092
357,Canonical_variate_8_Canonical variate x e2/2,0.015
358,Canonical_variate_9_Canonical variate x e2/2,0.199
359,Canonical_variate_10_Canonical variate x e2/2,0.008
360,Canonical_variate_11_Canonical variate x e2/2,0.353
361,Canonical_variate_12_Canonical variate x e2/2,0.09
362,Canonical_variate_13_Canonical variate x e2/2,0.222
363,Canonical_variate_14_Canonical variate x e2/2,0.203
364,Canonical_variate_15_Canonical variate x e2/2,0.265
365,Canonical_variate_16_Canonical variate x e2/2,0.195
366,Canonical_variate_17_Canonical variate x e2/2,0.122
367,Canonical_variate_18_Canonical variate x e2/2,0.282
368,Canonical_variate_19_Canonical variate x e2/2,0.168
369,Canonical_variate_20_Canonical variate x e2/2,0.161
370,Canonical_variate_21_Canonical variate x e2/2,0.309
371,Canonical_variate_22_Canonical variate x e2/2,0.304
372,Canonical_variate_23_Canonical variate x e2/2,0.209
373,Canonical_variate_24_Canonical variate x e2/2,0.157
374,Canonical_variate_25_Canonical variate x e2/2,0.308
375,Canonical_variate_26_Canonical variate x e2/2,0.279
376,Canonical_variate_27_Canonical variate x e2/2,0.321
377,Canonical_variate_28_Canonical variate x e2/2,0.039
378,Canonical_variate_29_Canonical variate x e2/2,0.155
379,Canonical_variate_30_Canonical variate x e2/2,0.289
380,Canonical_variate_31_Canonical variate x e2/2,0.267
381,Canonical_variate_32_Canonical variate x e2/2,0.025
382,Canonical_variate_33_Canonical variate x e2/2,0.045
383,Canonical_variate_34_Canonical variate x e2/2,0.135
384,Canonical_variate_35_Canonical variate x e2/2,0.009
385,Canonical_variate_36_Canonical variate x e2/2,0.014
386,Canonical_variate_37_Canonical variate x e2/2,0.192
387,Canonical_variate_38_Canonical variate x e2/2,0.247
388,Canonical_variate_39_Canonical variate x e2/2,0.15
389,Canonical_variate_40_Canonical variate x e2/2,0.243
390,Canonical_variate_41_Canonical variate x e2/2,0.104
391,Canonical_variate_42_Canonical variate x e2/2,0.135
392,Canonical_variate_43_Canonical variate x e2/2,0.265
393,Canonical_variate_44_Canonical variate x e2/2,0.106
394,Canonical_variate_45_Canonical variate x e2/2,0.223
395,Canonical_variate_46_Canonical variate x e2/2,0.033
396,Canonical_variate_47_Canonical variate x e2/2,0.152
397,Canonical_variate_48_Canonical variate x e2/2,0.212
398,Canonical_variate_49_Canonical variate x e2/2,0.133
399,Canonical_variate_50_Canonical variate x e2/2,0.213
400,Canonical_variate_1_Canonical variate x e2/3,0.377
401,Canonical_variate_2_Canonical variate x e2/3,0.239
402,Canonical_variate_3_Canonical variate x e2/3,0.452
403,Canonical_variate_4_Canonical variate x e2/3,0.087
404,Canonical_variate_5_Canonical variate x e2/3,0.273
405,Canonical_variate_6_Canonical variate x e2/3,0.351
406,Canonical_variate_7_Canonical variate x e2/3,0.451
407,Canonical_variate_8_Canonical variate x e2/3,0.01
408,Canonical_variate_9_Canonical variate x e2/3,0.003
409,Canonical_variate_10_Canonical variate x e2/3,0.07
410,Canonical_variate_11_Canonical variate x e2/3,0.411
411,Canonical_variate_12_Canonical variate x e2/3,0.334
412,Canonical_variate_13_Canonical variate x e2/3,0.219
413,Canonical_variate_14_Canonical variate x e2/3,0.352
414,Canonical_variate_15_Canonical variate x e2/3,0.26
415,Canonical_variate_16_Canonical variate x e2/3,0.139
416,Canonical_variate_17_Canonical variate x e2/3,0.326
417,Canonical_variate_18_Canonical variate x e2/3,0.251
418,Canonical_variate_19_Canonical variate x e2/3,0.139
419,Canonical_variate_20_Canonical variate x e2/3,0.259
420,Canonical_variate_21_Canonical variate x e2/3,0.293
421,Canonical_variate_22_Canonical variate x e2/3,0.277
422,Canonical_variate_23_Canonical variate x e2/3,0.16
423,Canonical_variate_24_Canonical variate x e2/3,0.073
424,Canonical_variate_25_Canonical variate x e2/3,0.161
425,Canonical_variate_26_Canonical variate x e2/3,0.083
426,Canonical_variate_27_Canonical variate x e2/3,0.115
427,Canonical_variate_28_Canonical variate x e2/3,0.017
428,Canonical_variate_29_Canonical variate x e2/3,0.306
429,Canonical_variate_30_Canonical variate x e2/3,0.167
430,Canonical_variate_31_Canonical variate x e2/3,0.214
431,Canonical_variate_32_Canonical variate x e2/3,0.257
432,Canonical_variate_33_Canonical variate x e2/3,0.308
433,Canonical_variate_34_Canonical variate x e2/3,0.023
434,Canonical_variate_35_Canonical variate x e2/3,0.265
435,Canonical_variate_36_Canonical variate x e2/3,0.152
436,Canonical_variate_37_Canonical variate x e2/3,0.213
437,Canonical_variate_38_Canonical variate x e2/3,0.033
438,Canonical_variate_39_Canonical variate x e2/3,0.093
439,Canonical_variate_40_Canonical variate x e2/3,0.103
440,Canonical_variate_41_Canonical variate x e2/3,0.154
441,Canonical_variate_42_Canonical variate x e2/3,0.121
442,Canonical_variate_43_Canonical variate x e2/3,0.153
443,Canonical_variate_44_Canonical variate x e2/3,0.199
444,Canonical_variate_45_Canonical variate x e2/3,0.037
445,Canonical_variate_46_Canonical variate x e2/3,0.222
446,Canonical_variate_47_Canonical variate x e2/3,0.164
447,Canonical_variate_48_Canonical variate x e2/3,0.04
448,Canonical_variate_49_Canonical variate x e2/3,0.157
449,Canonical_variate_50_Canonical variate x e2/3,0.244
450,Canonical_variate_1_Canonical variate x e3/3,0.17
451,Canonical_variate_2_Canonical variate x e3/3,0.039
452,Canonical_variate_3_Canonical variate x e3/3,0.204
453,Canonical_variate_4_Canonical variate x e3/3,0.339
454,Canonical_variate_5_Canonical variate x e3/3,0.207
455,Canonical_variate_6_Canonical variate x e3/3,0.297
456,Canonical_variate_7_Canonical variate x e3/3,0.272
457,Canonical_variate_8_Canonical variate x e3/3,0.153
458,Canonical_variate_9_Canonical variate x e3/3,0.045
459,Canonical_variate_10_Canonical variate x e3/3,0.212
460,Canonical_variate_11_Canonical variate x e3/3,0.262
461,Canonical_variate_12_Canonical variate x e3/3,0.207
462,Canonical_variate_13_Canonical variate x e3/3,0.333
463,Canonical_variate_14_Canonical variate x e3/3,0.032
464,Canonical_variate_15_Canonical variate x e3/3,0.167
465,Canonical_variate_16_Canonical variate x e3/3,0.281
466,Canonical_variate_17_Canonical variate x e3/3,0.243
467,Canonical_variate_18_Canonical variate x e3/3,0.318
468,Canonical_variate_19_Canonical variate x e3/3,0.193
469,Canonical_variate_20_Canonical variate x e3/3,0.275
470,Canonical_variate_21_Canonical variate x e3/3,0.302
471,Canonical_variate_22_Canonical variate x e3/3,0.256
